Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Colorado Avalanche,82,1282.2167,50,25,7,48,107,0.652,1441,1281,52.94,984,921,51.65,704,646,52.15,56,66,45.9,57.27,52.38,52.23,665,546,54.91,345,313,52.43,46,54,46,13.33,82.75,276,232,54.33,175,169,50.87,26,39,40,14.86,76.92,389,314,55.33,170,144,54.14,20,15,57.14,11.76,89.58,833,816,50.52,327,304,51.82,10,12,45.45,3.06,96.05,7.95,89.78,0.977
Los Angeles Kings,82,1348.3833,44,27,11,42,99,0.604,1436,1216,54.15,1035,840,55.2,723,568,56,50,47,51.55,59.67,54.44,52.29,614,561,52.26,321,275,53.86,43,39,52.44,13.4,85.82,239,232,50.74,158,152,50.97,30,26,53.57,18.99,82.89,375,329,53.27,163,123,56.99,13,13,50,7.98,89.43,870,698,55.48,368,263,58.32,7,8,46.67,1.9,96.96,6.92,91.73,0.986
Edmonton Oilers,82,1325.1667,49,27,6,47,104,0.634,1428,1180,54.75,1026,855,54.55,729,604,54.69,55,59,48.25,69.37,52.99,56.69,690,561,55.16,359,309,53.74,46,53,46.46,12.81,82.85,326,223,59.38,207,149,58.15,30,31,49.18,14.49,79.19,364,338,51.85,152,160,48.72,16,22,42.11,10.53,86.25,837,662,55.84,327,267,55.05,9,6,60,2.75,97.75,7.54,90.23,0.978
Vancouver Canucks,82,1243.4,50,23,9,50,109,0.665,1213,1146,51.42,866,823,51.27,574,542,51.43,67,37,64.42,56.42,48.35,53.85,570,495,53.52,298,250,54.38,58,29,66.67,19.46,88.4,250,224,52.74,156,140,52.7,41,21,66.13,26.28,85,320,271,54.15,142,110,56.35,17,8,68,11.97,92.73,695,683,50.44,251,268,48.36,9,8,52.94,3.59,97.01,11.67,93.17,1.048
New York Rangers,82,1343.1667,55,23,4,51,114,0.695,1344,1335,50.17,987,949,50.98,674,645,51.1,63,53,54.31,57.1,57.26,49.93,595,612,49.3,315,331,48.76,50,46,52.08,15.87,86.1,238,253,48.47,146,155,48.5,30,26,53.57,20.55,83.23,357,359,49.86,169,176,48.99,20,20,50,11.83,88.64,792,751,51.33,326,286,53.27,13,7,65,3.99,97.55,9.35,91.78,1.011
Buffalo Sabres,82,1313.3833,39,37,6,37,84,0.512,1312,1273,50.75,948,916,50.86,673,613,52.33,55,62,47.01,56.52,58.58,49.1,621,580,51.71,341,333,50.59,44,50,46.81,12.9,84.98,237,260,47.69,156,179,46.57,23,29,44.23,14.74,83.8,384,320,54.55,185,154,54.57,21,21,50,11.35,86.36,760,727,51.11,308,253,54.9,11,12,47.83,3.57,95.26,8.17,89.89,0.981
Philadelphia Flyers,82,1357.4833,38,33,11,34,87,0.53,1392,1414,49.61,1008,898,52.89,702,615,53.3,53,59,47.32,55.37,55.85,49.78,579,618,48.37,324,302,51.76,42,51,45.16,12.96,83.11,247,251,49.6,167,160,51.07,25,32,43.86,14.97,80,332,367,47.5,157,142,52.51,17,19,47.22,10.83,86.62,909,828,52.33,342,283,54.72,11,8,57.89,3.22,97.17,7.55,90.41,0.98
Columbus Blue Jackets,82,1397.7333,27,43,12,24,66,0.402,1401,1499,48.31,987,1040,48.69,665,750,47,63,63,50,59.16,64.7,47.76,626,691,47.53,331,354,48.32,50,50,50,15.11,85.88,225,272,45.27,151,180,45.62,32,29,52.46,21.19,83.89,401,419,48.9,180,174,50.85,18,21,46.15,10,87.93,811,879,47.99,299,362,45.23,13,13,50,4.35,96.41,9.47,91.6,1.011
Detroit Red Wings,82,1513.1,41,32,9,38,91,0.555,1359,1667,44.91,957,1197,44.43,649,812,44.42,55,75,42.31,56.93,72.51,43.98,608,745,44.94,306,401,43.28,43,67,39.09,14.05,83.29,218,279,43.86,144,178,44.72,28,40,41.18,19.44,77.53,390,466,45.56,162,223,42.08,15,27,35.71,9.26,87.89,789,1013,43.78,294,376,43.88,12,8,60,4.08,97.87,8.47,90.76,0.992
New Jersey Devils,82,1403.9333,38,39,5,38,81,0.494,1371,1380,49.84,964,999,49.11,635,695,47.74,52,77,40.31,60.28,64.65,48.25,617,649,48.74,311,355,46.7,48,70,40.68,15.43,80.28,236,279,45.83,138,188,42.33,29,42,40.85,21.01,77.66,381,370,50.73,173,167,50.88,19,28,40.43,10.98,83.23,810,755,51.76,302,301,50.08,4,7,36.36,1.32,97.67,8.19,88.92,0.971
St Louis Blues,82,1395.4333,43,33,6,38,92,0.561,1196,1527,43.92,870,1085,44.5,622,744,45.53,54,55,49.54,51.82,67.15,43.56,558,699,44.39,317,369,46.21,47,45,51.09,14.83,87.8,228,292,43.85,160,187,46.11,30,27,52.63,18.75,85.56,330,407,44.78,157,182,46.31,17,18,48.57,10.83,90.11,686,895,43.39,276,344,44.52,7,10,41.18,2.54,97.09,8.68,92.61,1.013
Dallas Stars,82,1358.2333,52,21,9,48,113,0.689,1474,1274,53.64,1006,910,52.51,677,622,52.12,68,59,53.54,61.21,52.92,53.63,676,548,55.23,332,312,51.55,56,51,52.34,16.87,83.65,276,228,54.76,163,163,50,29,38,43.28,17.79,76.69,400,320,55.56,169,149,53.14,27,13,67.5,15.98,91.28,892,766,53.8,317,282,52.92,12,8,60,3.79,97.16,10.04,90.51,1.006
Florida Panthers,82,1408.6833,52,24,6,49,110,0.671,1630,1193,57.74,1092,880,55.38,766,594,56.32,61,37,62.24,65.9,52.32,55.75,694,514,57.45,365,291,55.64,48,32,60,13.15,89,291,209,58.2,189,147,56.25,25,21,54.35,13.23,85.71,403,305,56.92,176,144,55,23,11,67.65,13.07,92.36,989,722,57.8,362,265,57.74,13,5,72.22,3.59,98.11,7.96,93.77,1.017
Minnesota Wild,82,1340.6333,39,33,10,36,88,0.537,1268,1280,49.76,869,883,49.6,593,595,49.92,58,50,53.7,51.08,46.43,52.39,579,550,51.28,303,269,52.97,48,39,55.17,15.84,85.5,235,204,53.53,160,126,55.94,26,24,52,16.25,80.95,344,346,49.86,143,143,50,22,15,59.46,15.38,89.51,711,798,47.12,259,297,46.58,10,11,47.62,3.86,96.3,9.78,91.6,1.014
San Jose Sharks,82,1419.3167,19,54,9,18,47,0.287,1225,1542,44.27,842,1090,43.58,553,742,42.7,43,61,41.35,47.93,64.82,42.51,523,752,41.02,267,378,41.4,34,46,42.5,12.73,87.83,197,303,39.4,128,189,40.38,20,28,41.67,15.63,85.19,326,449,42.06,139,189,42.38,14,18,43.75,10.07,90.48,756,897,45.74,254,334,43.2,9,15,37.5,3.54,95.51,7.78,91.78,0.996
Arizona Coyotes,82,1342.4167,36,41,5,34,77,0.47,1209,1418,46.02,856,1046,45.01,583,688,45.87,57,56,50.44,53.3,64.09,45.41,591,645,47.82,306,334,47.81,43,43,50,14.05,87.13,232,281,45.22,154,174,46.95,30,22,57.69,19.48,87.36,359,364,49.65,152,160,48.72,13,21,38.24,8.55,86.88,679,857,44.21,252,321,43.98,14,13,51.85,5.56,95.95,9.78,91.86,1.016
Washington Capitals,82,1407.45,40,31,11,36,91,0.555,1289,1507,46.1,872,1045,45.49,604,696,46.46,59,48,55.14,54.58,62.93,46.44,581,656,46.97,298,341,46.64,47,38,55.29,15.77,88.86,243,251,49.19,161,167,49.09,36,26,58.06,22.36,84.43,338,405,45.49,137,174,44.05,11,12,47.83,8.03,93.1,711,855,45.4,275,317,46.45,12,10,54.55,4.36,96.85,9.77,93.1,1.029
New York Islanders,82,1525.6333,39,27,16,38,94,0.573,1544,1638,48.52,1126,1106,50.45,785,770,50.48,58,52,52.73,67.64,64.34,51.25,697,729,48.88,389,355,52.28,48,41,53.93,12.34,88.45,307,283,52.03,218,186,53.96,27,26,50.94,12.39,86.02,390,446,46.65,171,169,50.29,21,15,58.33,12.28,91.12,897,973,47.97,349,375,48.2,10,11,47.62,2.87,97.07,7.39,93.25,1.006
Anaheim Ducks,82,1325.3167,27,50,5,26,59,0.36,1101,1431,43.48,818,1043,43.95,553,718,43.51,39,61,39,44.41,62.61,41.5,463,656,41.38,251,353,41.56,37,52,41.57,14.74,85.27,190,282,40.25,120,184,39.47,24,33,42.11,20,82.07,273,374,42.19,131,169,43.67,13,19,40.63,9.92,88.76,671,891,42.96,266,338,44.04,2,9,18.18,0.75,97.34,7.05,91.5,0.986
