Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
New Jersey Devils,82,580.4667,38,39,5,38,81,0.494,514,590,46.56,377,437,46.31,269,315,46.06,30,29,50.85,24.53,26.63,47.94,246,264,48.24,129,157,45.1,28,22,56,21.71,85.99,106,111,48.85,73,79,48.03,17,12,58.62,23.29,84.81,140,153,47.78,56,78,41.79,11,10,52.38,19.64,87.18,301,362,45.4,130,144,47.45,2,7,22.22,1.54,95.14,11.15,90.79,1.019
Dallas Stars,82,819.8167,52,21,9,48,113,0.689,785,900,46.59,576,622,48.08,387,434,47.14,32,32,50,35.28,33.93,50.97,401,374,51.74,215,186,53.62,28,27,50.91,13.02,85.48,153,136,52.94,95,91,51.08,18,16,52.94,18.95,82.42,248,238,51.03,120,95,55.81,10,11,47.62,8.33,88.42,462,581,44.3,159,227,41.19,4,5,44.44,2.52,97.8,8.27,92.63,1.009
Minnesota Wild,82,731.4667,39,33,10,36,88,0.537,679,778,46.6,495,520,48.77,344,361,48.79,23,33,41.07,26.32,27.53,48.88,309,325,48.74,159,171,48.18,21,24,46.67,13.21,85.96,110,121,47.62,74,77,49.01,11,17,39.29,14.86,77.92,199,204,49.38,85,94,47.49,10,7,58.82,11.76,92.55,416,495,45.66,169,173,49.42,2,9,18.18,1.18,94.8,6.69,90.86,0.975
Arizona Coyotes,82,559.75,36,41,5,34,77,0.47,521,596,46.64,369,415,47.07,248,286,46.44,29,30,49.15,21.59,26.81,44.61,239,297,44.59,118,154,43.38,25,23,52.08,21.19,85.06,88,129,40.55,57,87,39.58,17,18,48.57,29.82,79.31,151,168,47.34,61,67,47.66,8,5,61.54,13.11,92.54,301,349,46.31,118,121,49.37,4,7,36.36,3.39,94.21,11.69,89.51,1.012
Florida Panthers,82,861.2667,52,24,6,49,110,0.671,914,818,52.77,640,603,51.49,437,412,51.47,29,32,47.54,37.91,36.77,50.76,428,352,54.87,212,206,50.72,24,29,45.28,11.32,85.92,157,169,48.16,97,119,44.91,14,20,41.18,14.43,83.19,271,183,59.69,115,87,56.93,10,9,52.63,8.7,89.66,540,478,53.05,209,180,53.73,5,3,62.5,2.39,98.33,6.64,92.23,0.989
Winnipeg Jets,82,784.2,52,24,6,52,110,0.671,742,810,47.81,559,569,49.56,408,400,50.5,40,22,64.52,35.27,35.11,50.11,362,367,49.66,207,198,51.11,33,20,62.26,15.94,89.9,166,168,49.7,125,115,52.08,21,13,61.76,16.8,88.7,196,199,49.62,82,83,49.7,12,7,63.16,14.63,91.57,446,470,48.69,182,192,48.66,7,2,77.78,3.85,98.96,9.8,94.5,1.043
Columbus Blue Jackets,82,720.3,27,43,12,24,66,0.402,688,886,43.71,480,638,42.93,324,442,42.3,29,41,41.43,26.54,40.79,39.42,299,404,42.53,154,216,41.62,25,35,41.67,16.23,83.8,107,167,39.05,68,100,40.48,14,19,42.42,20.59,81,192,237,44.76,86,116,42.57,11,16,40.74,12.79,86.21,412,533,43.6,150,217,40.87,4,6,40,2.67,97.24,8.95,90.72,0.997
New York Islanders,82,912.1,39,27,16,38,94,0.573,805,1110,42.04,592,748,44.18,409,505,44.75,36,33,52.17,35.68,43.52,45.05,391,480,44.89,210,228,47.95,30,25,54.55,14.29,89.04,151,177,46.04,96,113,45.93,17,9,65.38,17.71,92.04,240,303,44.2,114,115,49.78,13,16,44.83,11.4,86.09,464,644,41.88,178,256,41.01,6,8,42.86,3.37,96.88,8.8,93.47,1.023
Seattle Kraken,82,714.7333,34,35,13,31,81,0.494,684,755,47.53,483,528,47.77,338,340,49.85,33,25,56.9,31.3,27.55,53.18,326,292,52.75,182,128,58.71,28,21,57.14,15.38,83.59,146,110,57.03,92,56,62.16,19,13,59.38,20.65,76.79,180,182,49.72,90,72,55.56,9,8,52.94,10,88.89,382,519,42.4,134,191,41.23,5,4,55.56,3.73,97.91,9.76,92.65,1.024
Edmonton Oilers,82,723.3833,49,27,6,47,104,0.634,703,666,51.35,520,479,52.05,363,321,53.07,36,27,57.14,35.3,30.94,53.28,370,340,52.11,198,176,52.94,27,23,54,13.64,86.93,175,125,58.33,119,83,58.91,24,18,57.14,20.17,78.31,195,215,47.56,79,93,45.93,3,5,37.5,3.8,94.62,391,370,51.38,153,136,52.94,9,4,69.23,5.88,97.06,9.92,91.59,1.015
San Jose Sharks,82,521.55,19,54,9,18,47,0.287,470,631,42.69,336,453,42.59,228,325,41.23,19,26,42.22,19.12,29.34,39.46,220,286,43.48,117,175,40.07,15,23,39.47,12.82,86.86,78,110,41.49,53,82,39.26,8,13,38.1,15.09,84.15,142,176,44.65,64,93,40.76,7,10,41.18,10.94,89.25,275,415,39.86,101,140,41.91,4,3,57.14,3.96,97.86,8.33,92,1.003
Anaheim Ducks,82,421.4833,27,50,5,26,59,0.36,366,464,44.1,262,334,43.96,178,234,43.2,15,20,42.86,16.06,19.8,44.8,168,202,45.41,97,107,47.55,11,19,36.67,11.34,82.24,78,96,44.83,57,63,47.5,7,12,36.84,12.28,80.95,90,106,45.92,40,44,47.62,4,7,36.36,10,84.09,219,286,43.37,69,111,38.33,4,1,80,5.8,99.1,8.43,91.45,0.999
Buffalo Sabres,82,653.6333,39,37,6,37,84,0.512,591,669,46.9,427,478,47.18,306,308,49.84,34,27,55.74,23.36,30.1,43.69,262,315,45.41,149,157,48.69,30,24,55.56,20.13,84.71,91,121,42.92,52,75,40.94,10,18,35.71,19.23,76,171,194,46.85,97,82,54.19,20,6,76.92,20.62,92.68,353,404,46.63,140,142,49.65,3,3,50,2.14,97.89,11.11,91.23,1.023
Los Angeles Kings,82,596.2,44,27,11,42,99,0.604,609,556,52.27,452,393,53.49,326,274,54.33,41,26,61.19,24.61,20.91,54.06,254,231,52.37,145,120,54.72,35,21,62.5,24.14,82.5,101,93,52.06,70,60,53.85,18,13,58.06,25.71,78.33,153,138,52.58,75,60,55.56,17,8,68,22.67,86.67,383,351,52.18,160,132,54.79,6,5,54.55,3.75,96.21,12.58,90.51,1.031
St Louis Blues,82,609.8,43,33,6,38,92,0.561,548,690,44.26,402,499,44.62,290,341,45.96,27,29,48.21,23.61,33.09,41.64,255,340,42.86,134,184,42.14,21,26,44.68,15.67,85.87,102,159,39.08,71,107,39.89,15,18,45.45,21.13,83.18,153,181,45.81,63,77,45,6,8,42.86,9.52,89.61,323,389,45.37,137,143,48.93,6,3,66.67,4.38,97.9,9.31,91.5,1.008
Washington Capitals,82,745.85,40,31,11,36,91,0.555,604,842,41.77,424,584,42.06,292,385,43.13,21,35,37.5,27.76,34.34,44.7,298,378,44.08,156,192,44.83,19,30,38.78,12.18,84.38,123,148,45.39,75,94,44.38,14,21,40,18.67,77.66,175,230,43.21,81,98,45.25,5,9,35.71,6.17,90.82,321,519,38.21,124,178,41.06,2,5,28.57,1.61,97.19,7.19,90.91,0.981
