Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Anaheim Ducks,82,803.2333,27,50,5,26,59,0.36,728.32,799.22,47.68,527.3,570.17,48.05,381.97,399.17,48.9,29.03,38.24,43.15,31.46,34.79,47.49,325.53,360.95,47.42,183.91,201.18,47.76,26.36,29.59,47.12,14.34,85.29,130.99,157.82,45.36,85.08,109.76,43.67,16.62,17.66,48.49,19.53,83.91,190.92,206.63,48.02,98.72,91.87,51.8,9.8,11.79,45.4,9.93,87.17,436.15,470.57,48.1,170.97,184.06,48.16,2.77,8.74,24.04,1.62,95.25,7.6,90.42,0.98
Columbus Blue Jackets,82,778.5333,27,43,12,24,66,0.402,706.37,849.04,45.41,516.04,586.53,46.8,366.26,412.62,47.02,29.69,36.9,44.58,32.48,35.68,47.65,346.02,410.68,45.73,184.11,213.38,46.32,25.15,29.49,46.03,13.66,86.18,133.69,163.28,45.02,84.76,109.45,43.65,14.14,19.64,41.86,16.68,82.06,208.24,251.61,45.28,99.28,104.21,48.79,11.15,9.81,53.2,11.23,90.59,382.97,457.83,45.55,157.49,179.6,46.72,4.54,7.53,37.63,2.89,95.81,8.11,91.06,0.992
Tampa Bay Lightning,82,736.2,45,29,8,42,98,0.598,704.86,752.68,48.36,473.7,541.35,46.67,320.95,396,44.77,29.86,42.2,41.44,28.88,35.98,44.52,350.55,364.26,49.04,171.45,208.78,45.09,25.43,34.74,42.27,14.83,83.36,130.95,148.44,46.87,76,98.59,43.53,14.41,15.59,48.05,18.97,84.19,215.56,219.28,49.57,95.38,110.12,46.41,11.15,18.77,37.27,11.69,82.95,395.7,414.82,48.82,134.9,168.47,44.47,4.5,6.42,41.18,3.33,96.19,9.3,89.34,0.986
New Jersey Devils,82,816.15,38,39,5,38,81,0.494,860.51,791.75,52.08,597.75,587.88,50.42,416.35,421.54,49.69,37.52,36.53,50.67,39.67,38.28,50.89,387.91,361.35,51.77,197.63,200.23,49.67,31.11,33.08,48.47,15.74,83.48,164.94,157.94,51.08,113.56,115.01,49.68,24.15,29.38,45.12,21.26,74.46,218.82,206.77,51.42,83.53,85.64,49.38,6.82,3.96,63.26,8.17,95.37,517.29,448.55,53.56,201.97,199.52,50.3,6.37,3.28,65.99,3.15,98.35,9.01,91.33,1.003
Buffalo Sabres,82,790.95,39,37,6,37,84,0.512,725.78,743.14,49.41,514.3,542.24,48.68,348.42,372.2,48.35,31.14,25.59,54.89,28.43,32.48,46.67,303.13,348.09,46.55,165.6,175.52,48.55,22.55,20.34,52.57,13.61,88.41,110.22,147.49,42.77,75.16,90.24,45.44,11.57,15.31,43.04,15.39,83.04,189.06,204.11,48.09,90.4,85.52,51.39,11.15,5.1,68.62,12.34,94.04,446.9,455.32,49.53,164.48,175.32,48.41,8.3,5.36,60.76,5.04,96.94,8.94,93.12,1.021
New York Islanders,82,562.25,39,27,16,38,94,0.573,533.52,583.52,47.76,389.22,391.82,49.83,270.93,278.88,49.28,31.97,25.68,55.46,24.15,23.29,50.9,266.43,258.08,50.8,141.62,131.61,51.83,26.46,21.32,55.38,18.68,83.8,117.84,92.99,55.89,81.32,66.52,55.01,18.36,15.49,54.24,22.58,76.71,145.63,167.91,46.45,59.8,65.28,47.81,8.08,5.85,58,13.5,91.04,302.25,347.16,46.54,122,133.81,47.69,5.48,4.35,55.78,4.49,96.75,11.8,90.79,1.026
Minnesota Wild,82,759.3333,39,33,10,36,88,0.537,678.34,798.74,45.92,486.24,574.32,45.85,310.33,393.53,44.09,28.85,32.05,47.38,29.6,32.94,47.33,295.91,360.45,45.08,143.15,179.91,44.31,26.18,23.36,52.84,18.29,87.02,125.05,148.12,45.78,81.74,96.09,45.97,17.35,15.49,52.83,21.23,83.88,167.68,216.02,43.7,60.95,84.15,42.01,8.84,7.83,53.04,14.51,90.7,405.38,505.47,44.51,151.27,198.05,43.3,2.77,8.79,23.94,1.83,95.56,9.3,91.86,1.012
Washington Capitals,82,681.3833,40,31,11,36,91,0.555,599.36,712.67,45.68,426.92,476.61,47.25,268.72,312.85,46.21,21.02,36,36.87,28.97,27.55,51.26,303.04,304.39,49.89,142.35,144.14,49.69,16.49,29.4,35.93,11.58,79.61,122.61,133.04,47.96,70.84,79.49,47.12,11.48,19.45,37.11,16.2,75.53,176.94,173.94,50.43,71.31,64.83,52.38,5,9.91,33.54,7.01,84.72,351.07,439.89,44.39,115.49,152.41,43.11,4.5,6.57,40.64,3.89,95.69,7.82,88.49,0.963
Vegas Golden Knights,82,639.1333,45,29,8,41,98,0.598,593.79,722.97,45.09,423.89,491.48,46.31,301.95,346.95,46.53,29.03,34.66,45.58,26.63,27.55,49.15,274.72,308.11,47.14,152.1,158.33,49,26.55,30.28,46.72,17.46,80.88,103.27,119.32,46.39,78.82,68.5,53.5,15.61,17.47,47.18,19.8,74.49,168.47,191.81,46.76,73.06,89.65,44.9,11.05,12.63,46.67,15.13,85.91,372.75,434.05,46.2,138.67,175.2,44.18,2.67,4.3,38.31,1.92,97.55,9.61,90.01,0.996
Los Angeles Kings,82,576.4,44,27,11,42,99,0.604,624.61,524.84,54.34,463.79,369.58,55.65,294.43,273.12,51.88,19.44,25.5,43.25,28.97,21.54,57.36,278.49,242.01,53.5,133.06,140.84,48.58,15.65,22.2,41.35,11.76,84.24,114.62,95.18,54.63,66.35,67.07,49.73,12.58,11.07,53.18,18.96,83.49,160.88,149.09,51.9,66.67,73.62,47.52,2.98,10.95,21.4,4.47,85.13,385,311.07,55.31,147.26,118.67,55.38,3.7,3.23,53.38,2.52,97.27,6.6,90.66,0.973
Winnipeg Jets,82,496.7667,52,24,6,52,110,0.671,532.57,434.58,55.07,370.49,323.87,53.36,268.96,229.82,53.92,28.19,17.16,62.17,23.26,17.69,56.8,229.84,176.1,56.62,121.45,104.24,53.81,27.48,13.05,67.81,22.63,87.48,108.08,71.05,60.34,71.46,49.19,59.23,15.42,7.11,68.44,21.58,85.54,119.49,106.71,52.83,49.51,54.93,47.4,12.21,5.85,67.62,24.66,89.36,313.65,277.06,53.1,130.31,105.4,55.28,0.94,4.25,18.09,0.72,95.97,10.48,92.53,1.03
New York Rangers,82,657.2667,55,23,4,51,114,0.695,698.07,620.76,52.93,506.96,447.96,53.09,352.2,308.89,53.28,27.09,28.91,48.38,29,27.81,51.05,325.84,272.34,54.47,167.86,161.95,50.9,18.54,27.54,40.23,11.04,82.99,124.45,122.79,50.34,74.02,85.37,46.44,6.89,19.54,26.06,9.3,77.11,197.63,151.97,56.53,94.04,76.69,55.08,11.92,8.02,59.77,12.67,89.54,424.2,351.64,54.68,165.2,126.23,56.69,8.25,1.11,88.13,4.99,99.12,7.69,90.64,0.983
Philadelphia Flyers,82,677.7167,38,33,11,34,87,0.53,759.03,654.18,53.71,554.25,434.64,56.05,370.54,298.54,55.38,27.36,34.75,44.05,33.19,24.8,57.23,361.19,275.76,56.71,186.24,135.03,57.97,23.76,27.16,46.66,12.76,79.88,149.52,100.41,59.83,94.84,61.82,60.54,16.62,14.13,54.04,17.52,77.14,207.87,178.2,53.84,91.22,73.1,55.51,7.11,12.83,35.67,7.8,82.45,427.89,400.21,51.67,169.44,144.48,53.98,3.65,7.63,32.39,2.16,94.72,7.38,88.36,0.957
Dallas Stars,82,699.85,52,21,9,48,113,0.689,789.66,622.95,55.9,564.42,449.32,55.68,388.3,290.43,57.21,34.83,29,54.57,34.34,24.89,57.98,377.18,282.79,57.15,212.68,148.77,58.84,32.14,26.76,54.57,15.11,82.02,137.94,113.45,54.87,96.45,74.06,56.56,18.27,13.7,57.15,18.94,81.51,234.7,172.16,57.69,116.18,74.87,60.81,14.03,12.83,52.24,12.08,82.87,467.44,354.06,56.9,156.91,125.13,55.63,2.81,2.12,56.99,1.79,98.3,8.97,90.02,0.99
Montreal Canadiens,82,607.5167,30,36,16,26,76,0.463,556.04,698.12,44.34,402.15,482.03,45.48,283.98,334.71,45.9,24.32,34.84,41.11,26.07,29.11,47.25,238.18,334.13,41.62,142.62,177.05,44.61,20.68,32.32,39.02,14.5,81.75,112.94,125.26,47.41,73.5,79.32,48.09,13.5,17.29,43.84,18.36,78.2,122.64,212.23,36.62,68.75,97.53,41.35,7.21,14.81,32.75,10.49,84.81,338.96,352.8,49,123.75,140.69,46.8,2.72,2.22,55.01,2.2,98.42,8.56,89.59,0.982
St Louis Blues,82,671.3833,43,33,6,38,92,0.561,576.66,713.18,44.71,417.91,528.28,44.17,295.62,375.3,44.06,26.92,29.37,47.82,23.72,30.31,43.9,254.5,302.28,45.71,147.16,160.07,47.9,23.29,22.01,51.41,15.82,86.25,96.45,131.76,42.26,69.95,84.95,45.16,10.56,13.33,44.2,15.09,84.31,154.99,173.28,47.21,77.1,75.25,50.61,12.98,8.57,60.21,16.83,88.6,367.22,464.59,44.15,136.75,196.93,40.98,3.65,7.53,32.67,2.67,96.18,9.11,92.17,1.013
Florida Panthers,82,487.3833,52,24,6,49,110,0.671,528.63,450.43,53.99,369.4,342.34,51.9,247.35,238.63,50.9,21.68,19.83,52.23,21.87,18.88,53.66,217.65,217.29,50.04,103.89,114.12,47.65,17.04,17.61,49.18,16.4,84.57,92.53,90.52,50.55,54.77,66.1,45.31,12.21,13.61,47.3,22.3,79.42,122.42,128.98,48.69,48.76,48.25,50.27,4.8,4.06,54.19,9.85,91.59,337.24,253.98,57.04,130.64,113.55,53.5,4.54,2.17,67.65,3.48,98.09,8.77,91.69,1.005
Colorado Avalanche,82,609.25,50,25,7,48,107,0.652,666.03,575.2,53.66,474.72,405.34,53.94,329.4,280.72,53.99,35.67,26.84,57.06,30.69,23.28,56.87,318.38,251.25,55.89,171.01,143.2,54.43,30.28,22.39,57.49,17.7,84.37,141.02,110.94,55.97,89.98,81.86,52.36,20.2,15.31,56.89,22.45,81.3,174.07,142.74,54.94,80.89,61.76,56.7,10.09,7.08,58.77,12.48,88.54,405.77,339.1,54.47,149.65,116.46,56.24,5.43,4.39,55.29,3.63,96.23,10.83,90.44,1.013
