Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
St Louis Blues,82,1403.2667,43,33,6,38,92,0.561,1415,1295,52.21,1027,980,51.17,702,693,50.32,52,76,40.63,58.6,71.71,44.97,633,591,51.72,338,322,51.21,46,54,46,13.61,83.23,250,245,50.51,167,163,50.61,24,31,43.64,14.37,80.98,383,346,52.54,171,159,51.82,22,23,48.89,12.87,85.53,884,805,52.34,331,333,49.85,6,15,28.57,1.81,95.5,7.41,89.03,0.964
Florida Panthers,82,957.1333,52,24,6,49,110,0.671,1218,715,63.01,848,553,60.53,572,380,60.08,45,40,52.94,49.62,38.15,56.54,521,352,59.68,258,192,57.33,35,29,54.69,13.57,84.9,217,148,59.45,140,101,58.09,24,18,57.14,17.14,82.18,304,204,59.84,118,91,56.46,11,11,50,9.32,87.91,774,387,66.67,292,161,64.46,9,6,60,3.08,96.27,7.87,89.47,0.973
San Jose Sharks,82,1917.6,19,54,9,18,47,0.287,1794,2132,45.7,1253,1530,45.02,848,1044,44.82,54,138,28.13,77.7,111.8,41,794,1068,42.64,394,571,40.83,47,107,30.52,11.93,81.26,353,439,44.57,210,291,41.92,31,67,31.63,14.76,76.98,441,629,41.21,184,280,39.66,16,40,28.57,8.7,85.71,1093,1202,47.63,415,428,49.23,7,27,20.59,1.69,93.69,6.37,86.78,0.931
Arizona Coyotes,82,1606.0667,36,41,5,34,77,0.47,1651,1426,53.66,1159,1061,52.21,774,738,51.19,69,90,43.4,72.74,77.02,48.57,792,672,54.1,408,367,52.65,57,70,44.88,13.97,80.93,330,255,56.41,214,167,56.17,33,38,46.48,15.42,77.25,462,417,52.56,194,200,49.24,24,32,42.86,12.37,84,919,850,51.95,336,317,51.45,12,11,52.17,3.57,96.53,8.91,87.8,0.967
Washington Capitals,82,1495.9333,40,31,11,36,91,0.555,1475,1365,51.94,1030,992,50.94,658,662,49.85,51,81,38.64,66.23,71.42,48.11,716,619,53.63,334,331,50.23,44,66,40,13.17,80.06,300,276,52.08,167,175,48.83,28,40,41.18,16.77,77.14,416,343,54.81,167,156,51.7,16,26,38.1,9.58,83.33,845,807,51.15,302,291,50.93,7,12,36.84,2.32,95.88,7.75,87.76,0.955
Philadelphia Flyers,82,1436.0833,38,33,11,34,87,0.53,1786,1214,59.53,1278,839,60.37,870,562,60.75,74,90,45.12,74.04,64.78,53.33,807,542,59.82,420,285,59.57,61,73,45.52,14.52,74.39,345,214,61.72,221,140,61.22,39,43,47.56,17.65,69.29,462,328,58.48,199,145,57.85,22,30,42.31,11.06,79.31,1053,706,59.86,413,235,63.73,13,17,43.33,3.15,92.77,8.51,83.99,0.925
New York Rangers,82,1229.75,55,23,4,51,114,0.695,1475,1005,59.48,1022,746,57.81,700,529,56.96,51,60,45.95,59.57,56.18,51.46,687,456,60.1,346,278,55.45,38,51,42.7,10.98,81.65,258,199,56.46,159,145,52.3,18,33,35.29,11.32,77.24,429,257,62.54,187,133,58.44,20,18,52.63,10.7,86.47,890,569,61,326,216,60.15,13,6,68.42,3.99,97.22,7.29,88.66,0.959
Calgary Flames,82,1672,38,39,5,38,81,0.494,1891,1527,55.32,1340,1110,54.69,886,768,53.57,75,85,46.88,80.03,80.05,50,860,711,54.74,440,399,52.44,57,63,47.5,12.95,84.21,355,281,55.82,234,190,55.19,41,26,61.19,17.52,86.32,505,430,54.01,206,209,49.64,16,37,30.19,7.77,82.3,1146,888,56.34,412,320,56.28,18,11,62.07,4.37,96.56,8.47,88.93,0.974
Minnesota Wild,82,1402.95,39,33,10,36,88,0.537,1451,1262,53.48,1019,935,52.15,673,653,50.75,60,69,46.51,58.04,58.82,49.67,619,570,52.06,305,307,49.84,51,50,50.5,16.72,83.71,259,234,52.54,167,153,52.19,38,30,55.88,22.75,80.39,360,336,51.72,138,154,47.26,13,20,39.39,9.42,87.01,882,788,52.81,333,312,51.63,9,15,37.5,2.7,95.19,8.92,89.43,0.983
Vancouver Canucks,82,919.6333,50,23,9,50,109,0.665,1045,698,59.95,702,519,57.49,454,373,54.9,43,43,50,43.75,38.4,53.25,478,335,58.79,220,200,52.38,36,37,49.32,16.36,81.5,214,139,60.62,126,102,55.26,24,26,48,19.05,74.51,264,196,57.39,94,98,48.96,12,11,52.17,12.77,88.78,650,396,62.14,217,151,58.97,7,2,77.78,3.23,98.68,9.47,88.47,0.979
Colorado Avalanche,82,1168.5833,50,25,7,48,107,0.652,1421,1066,57.14,1000,778,56.24,686,546,55.68,69,70,49.64,59.81,59.05,50.32,662,476,58.17,348,268,56.49,57,49,53.77,16.38,81.72,287,205,58.33,182,146,55.49,38,31,55.07,20.88,78.77,375,271,58.05,166,122,57.64,19,18,51.35,11.45,85.25,861,599,58.97,316,235,57.35,11,14,44,3.48,94.04,10.06,87.18,0.972
Anaheim Ducks,82,1839.0833,27,50,5,26,59,0.36,1747,1655,51.35,1237,1210,50.55,858,829,50.86,67,95,41.36,74.15,86.63,46.12,780,776,50.13,416,424,49.52,57,77,42.54,13.7,81.84,318,331,49,205,228,47.34,41,44,48.24,20,80.7,462,445,50.94,211,196,51.84,16,33,32.65,7.58,83.16,1032,957,51.89,388,361,51.8,10,14,41.67,2.58,96.12,7.81,88.54,0.963
Vegas Golden Knights,82,1226.35,45,29,8,41,98,0.598,1349,1204,52.84,922,842,52.27,636,596,51.62,58,66,46.77,55.27,57.05,49.21,610,536,53.23,317,281,53.01,51,49,51,16.09,82.56,214,204,51.2,148,127,53.82,28,28,50,18.92,77.95,396,332,54.4,169,154,52.32,23,21,52.27,13.61,86.36,820,712,53.52,286,283,50.26,7,10,41.18,2.45,96.47,9.12,88.93,0.98
Dallas Stars,82,1178.0333,52,21,9,48,113,0.689,1467,915,61.59,1022,666,60.55,681,436,60.97,60,48,55.56,61.91,42.9,59.07,671,417,61.67,359,215,62.54,56,38,59.57,15.6,82.33,254,165,60.62,173,102,62.91,33,19,63.46,19.08,81.37,417,252,62.33,186,113,62.21,23,19,54.76,12.37,83.19,874,531,62.21,287,193,59.79,4,5,44.44,1.39,97.41,8.81,88.99,0.978
New York Islanders,82,1120.7833,39,27,16,38,94,0.573,1216,1065,53.31,875,760,53.52,616,537,53.43,52,64,44.83,55.46,56.63,49.48,562,475,54.19,300,257,53.86,41,46,47.13,13.67,82.1,248,179,58.08,172,125,57.91,27,29,48.21,15.7,76.8,314,296,51.48,128,132,49.23,14,17,45.16,10.94,87.12,724,614,54.11,292,242,54.68,11,11,50,3.77,95.45,8.44,88.08,0.965
