Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Philadelphia Flyers,82,3916.3,38,33,11,34,87,0.53,4104,3854,51.57,2975,2531,54.03,2078,1709,54.87,159,180,46.9,170.87,154.98,52.44,1809,1706,51.47,997,828,54.63,133,152,46.67,13.34,81.64,777,677,53.44,512,424,54.7,81,94,46.29,15.82,77.83,1032,1029,50.07,485,404,54.56,52,58,47.27,10.72,85.64,2459,2256,52.15,972,777,55.57,26,28,48.15,2.67,96.4,7.65,89.47,0.971
Columbus Blue Jackets,82,4017.6,27,43,12,24,66,0.402,4009,4386,47.75,2826,3132,47.43,1939,2220,46.62,175,196,47.17,169.22,197.63,46.13,1794,2059,46.56,932,1078,46.37,146,164,47.1,15.67,84.79,668,848,44.06,437,548,44.37,88,98,47.31,20.14,82.12,1126,1211,48.18,495,530,48.29,58,66,46.77,11.72,87.55,2316,2545,47.64,896,1048,46.09,29,32,47.54,3.24,96.95,9.03,91.17,1.002
Detroit Red Wings,82,3936.6333,41,32,9,38,91,0.555,3552,4175,45.97,2535,2987,45.91,1758,2039,46.3,177,189,48.36,148.01,174.82,45.85,1571,1927,44.91,833,1007,45.27,141,165,46.08,16.93,83.61,588,728,44.68,403,465,46.43,83,103,44.62,20.6,77.85,983,1199,45.05,430,542,44.24,58,62,48.33,13.49,88.56,2132,2502,46.01,817,945,46.37,36,24,60,4.41,97.46,10.07,90.73,1.008
New Jersey Devils,82,3950.2333,38,39,5,38,81,0.494,4036,3737,51.92,2842,2754,50.79,1954,1924,50.39,177,185,48.9,184.73,172.86,51.66,1836,1729,51.5,961,964,49.92,153,159,49.04,15.92,83.51,756,735,50.7,496,510,49.3,101,102,49.75,20.36,80,1080,994,52.07,465,454,50.6,52,57,47.71,11.18,87.44,2415,2118,53.28,913,850,51.79,24,26,48,2.63,96.94,9.06,90.38,0.994
St Louis Blues,82,3981.8833,43,33,6,38,92,0.561,3474,4198,45.28,2553,3057,45.51,1809,2121,46.03,151,167,47.48,150.33,190.61,44.09,1611,1959,45.13,900,1039,46.42,130,139,48.33,14.44,86.62,642,850,43.03,440,547,44.58,75,90,45.45,17.05,83.55,969,1109,46.63,460,492,48.32,55,49,52.88,11.96,90.04,2042,2504,44.92,817,990,45.21,21,27,43.75,2.57,97.27,8.35,92.13,1.005
Dallas Stars,82,4011.2333,52,21,9,48,113,0.689,4262,3757,53.15,3024,2672,53.09,2045,1812,53.02,192,160,54.55,182.53,148.2,55.19,2005,1631,55.14,1057,871,54.82,167,139,54.58,15.8,84.04,790,637,55.36,501,429,53.87,96,90,51.61,19.16,79.02,1215,994,55,556,442,55.71,71,49,59.17,12.77,88.91,2532,2307,52.32,899,853,51.31,25,21,54.35,2.78,97.54,9.39,91.17,1.006
Florida Panthers,82,3793.8833,52,24,6,49,110,0.671,4216,3353,55.7,2897,2492,53.76,2022,1699,54.34,155,119,56.57,174.72,146.91,54.32,1839,1487,55.29,943,845,52.74,122,104,53.98,12.94,87.69,755,648,53.81,484,454,51.6,72,70,50.7,14.88,84.58,1084,839,56.37,459,391,54,50,34,59.52,10.89,91.3,2558,1969,56.51,984,749,56.78,32,15,68.09,3.25,98,7.67,93,1.007
Minnesota Wild,82,3890,39,33,10,36,88,0.537,3712,3765,49.65,2628,2641,49.88,1788,1817,49.6,158,163,49.22,148.63,143.56,50.87,1664,1633,50.47,860,841,50.56,135,126,51.72,15.7,85.02,657,622,51.37,439,394,52.7,83,74,52.87,18.91,81.22,1007,1011,49.9,421,447,48.5,52,52,50,12.35,88.37,2172,2368,47.84,838,894,48.38,23,37,38.33,2.74,95.86,8.84,91.03,0.999
San Jose Sharks,82,4024.2667,19,54,9,18,47,0.287,3575,4583,43.82,2499,3271,43.31,1686,2248,42.86,119,226,34.49,147.92,205.88,41.81,1575,2232,41.37,809,1184,40.59,99,186,34.74,12.24,84.29,634,901,41.3,401,584,40.71,57,114,33.33,14.21,80.48,941,1331,41.42,408,600,40.48,42,72,36.84,10.29,88,2163,2684,44.63,792,976,44.8,20,40,33.33,2.53,95.9,7.06,89.95,0.97
Arizona Coyotes,82,3941.1333,36,41,5,34,77,0.47,3722,3947,48.53,2649,2880,47.91,1772,1967,47.39,171,171,50,163.94,174.59,48.43,1793,1856,49.14,920,992,48.12,140,144,49.3,15.22,85.48,717,759,48.58,461,489,48.53,87,82,51.48,18.87,83.23,1076,1097,49.52,459,503,47.71,53,62,46.09,11.55,87.67,2084,2370,46.79,776,873,47.06,31,27,53.45,3.99,96.91,9.65,91.31,1.01
Washington Capitals,82,4042.2,40,31,11,36,91,0.555,3644,4166,46.66,2521,2923,46.31,1686,1960,46.24,143,175,44.97,160.11,177.49,47.43,1725,1844,48.33,853,963,46.97,120,147,44.94,14.07,84.74,714,763,48.34,438,500,46.7,85,102,45.45,19.41,79.6,1011,1081,48.33,415,463,47.27,35,45,43.75,8.43,90.28,2011,2476,44.82,757,897,45.77,23,28,45.1,3.04,96.88,8.48,91.07,0.996
New York Islanders,82,4064.3167,39,27,16,38,94,0.573,3914,4428,46.92,2848,3048,48.3,1984,2103,48.54,166,158,51.23,175.95,178.78,49.6,1822,1987,47.83,996,999,49.92,137,129,51.5,13.76,87.09,781,766,50.48,546,500,52.2,84,74,53.16,15.38,85.2,1041,1221,46.02,450,499,47.42,53,55,49.07,11.78,88.98,2288,2591,46.89,886,1004,46.88,29,29,50,3.27,97.11,8.37,92.49,1.009
Anaheim Ducks,82,3822.3167,27,50,5,26,59,0.36,3340,3861,46.38,2420,2787,46.48,1664,1917,46.47,127,173,42.33,142.55,167.46,45.98,1473,1781,45.27,804,950,45.84,109,151,41.92,13.56,84.11,617,772,44.42,405,515,44.02,73,92,44.24,18.02,82.14,856,1009,45.9,399,435,47.84,36,59,37.89,9.02,86.44,1974,2335,45.81,747,879,45.94,18,22,45,2.41,97.5,7.63,90.98,0.986
