Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
New York Rangers,82,1343.1667,55,23,4,51,114,0.695,1340.16,1333.81,50.12,984.47,948.52,50.93,672.93,645.42,51.04,63.17,53.06,54.35,56.87,57.37,49.78,591.66,612.68,49.13,314.15,331.61,48.65,50.11,46.23,52.02,15.95,86.06,236.96,254.37,48.23,145.78,155.92,48.32,30.47,25.88,54.07,20.9,83.4,355.18,358.76,49.75,168.51,175.94,48.92,19.69,20.31,49.22,11.68,88.46,790.66,749.34,51.34,325.59,285.94,53.24,13.05,6.84,65.62,4.01,97.61,9.39,91.78,1.012
Ottawa Senators,82,1165.3167,37,41,4,32,78,0.476,1165.74,1181.46,49.67,832.22,813.94,50.56,568.95,562.13,50.3,48.6,59.32,45.03,50.56,49.66,50.45,517.4,555.32,48.23,278.78,285.5,49.4,42.38,48.6,46.58,15.2,82.98,225.89,216.15,51.1,148.92,147.65,50.21,32.47,28.59,53.18,21.81,80.64,291.45,338.97,46.23,129.71,137.66,48.51,9.9,20,33.1,7.63,85.47,661.98,665.94,49.85,253.67,247.07,50.66,6.22,10.73,36.68,2.45,95.66,8.54,89.45,0.98
Colorado Avalanche,82,1282.2167,50,25,7,48,107,0.652,1443.17,1274.5,53.1,986.43,916.55,51.84,705.57,643.03,52.32,56,65.77,45.99,57.39,52.01,52.46,665.44,541.35,55.14,345.53,311.42,52.6,46,53.66,46.16,13.31,82.77,276.13,230.43,54.51,175.38,168.73,50.97,25.88,38.82,40,14.76,76.99,389.24,311.52,55.55,170.17,143.03,54.33,20.1,14.84,57.53,11.81,89.62,834.61,812.54,50.67,327.54,303,51.95,10,12.11,45.23,3.05,96,7.94,89.77,0.977
Philadelphia Flyers,82,1357.4833,38,33,11,34,87,0.53,1392.43,1412.23,49.65,1007.87,897.17,52.91,702.11,614.64,53.32,53.17,59.06,47.38,55.44,55.77,49.85,578.56,617.42,48.38,323.76,302.08,51.73,42.45,51.17,45.34,13.11,83.06,247.07,250.15,49.69,166.95,159.78,51.1,25.41,32.12,44.17,15.22,79.9,331.66,367.03,47.47,156.86,142.17,52.46,17.05,19.05,47.23,10.87,86.6,908.02,826.66,52.35,341.86,282.71,54.74,10.73,7.89,57.62,3.14,97.21,7.57,90.39,0.98
Anaheim Ducks,82,1325.3167,27,50,5,26,59,0.36,1101.34,1425.85,43.58,818.26,1039.51,44.05,552.13,716.54,43.52,39.06,61.4,38.88,44.34,62.32,41.57,462.95,651.84,41.53,250.15,351.5,41.58,36.94,52.34,41.38,14.77,85.11,189.61,280.43,40.34,119.57,183.57,39.44,24,33.53,41.72,20.07,81.74,273.17,371.87,42.35,130.63,168.17,43.72,12.95,18.84,40.73,9.91,88.79,671.12,888.58,43.03,265.81,337.7,44.04,2.11,9.05,18.88,0.79,97.32,7.07,91.43,0.985
Los Angeles Kings,82,1348.3833,44,27,11,42,99,0.604,1433.68,1214.72,54.13,1033.11,838.72,55.19,722.07,566.6,56.03,49.77,47.06,51.4,59.48,54.27,52.29,609.54,560.76,52.08,319.17,274.31,53.78,42.83,39.4,52.09,13.42,85.64,236.85,231.22,50.6,157.57,151.14,51.04,29.65,26.47,52.83,18.82,82.49,372.97,329.24,53.11,161.94,122.97,56.84,13.16,12.95,50.4,8.12,89.47,870,697.47,55.5,368.11,262.57,58.37,6.95,7.68,47.5,1.89,97.08,6.89,91.69,0.986
Buffalo Sabres,82,1313.3833,39,37,6,37,84,0.512,1312.98,1267.72,50.88,949.09,911.39,51.01,673.81,610.34,52.47,55.28,62,47.14,56.75,58.26,49.34,622.11,576.03,51.92,341.61,330.69,50.81,44.45,50.23,46.95,13.01,84.81,237.98,258.3,47.95,156.43,177.76,46.81,22.94,29.29,43.92,14.67,83.52,384.28,318.07,54.71,185.2,153.03,54.76,21.47,20.95,50.61,11.59,86.31,760.05,724,51.21,308.14,252.52,54.96,10.84,11.78,47.91,3.52,95.33,8.2,89.84,0.98
New York Islanders,82,1525.6333,39,27,16,38,94,0.573,1543.88,1634.77,48.57,1125.17,1102.74,50.5,785.14,768.26,50.54,58.34,51.89,52.93,67.54,64.02,51.34,694.63,727.5,48.84,388.23,354.23,52.29,48.34,40.72,54.28,12.45,88.51,306.15,281.89,52.06,217.46,185.57,53.96,27.64,25.77,51.76,12.71,86.12,388.76,445.52,46.6,170.74,168.68,50.3,20.74,14.95,58.11,12.15,91.14,897.07,970.96,48.02,349.24,374.43,48.26,10,11.16,47.26,2.86,97.02,7.43,93.25,1.007
Carolina Hurricanes,82,1479.2167,52,23,7,50,111,0.677,1815.79,1175.95,60.69,1265.38,877.02,59.06,810.26,610.62,57.03,58.27,54.6,51.62,75.07,53.49,58.39,796.53,522.18,60.4,375.11,304.95,55.16,50.6,48.49,51.07,13.49,84.1,306.93,227.48,57.43,185.27,159.97,53.66,30.12,25.77,53.89,16.26,83.89,490.28,294.69,62.46,190.23,144.8,56.78,20.53,22.74,47.45,10.79,84.3,1096.24,676.51,61.84,409.5,264.75,60.73,7.68,6.11,55.69,1.87,97.69,7.19,91.06,0.982
Dallas Stars,82,1358.2333,52,21,9,48,113,0.689,1473.82,1274.73,53.62,1005.49,910.06,52.49,677.25,621.22,52.16,67.77,59.06,53.44,61.2,52.74,53.71,676.1,545.29,55.35,331.92,310.78,51.64,55.66,51.17,52.1,16.77,83.54,275.35,226.3,54.89,162.84,161.97,50.13,29.06,38,43.33,17.85,76.54,400.41,318.97,55.66,169.03,148.68,53.2,26.64,13.16,66.94,15.76,91.15,892.43,767.78,53.75,317.18,281.94,52.94,12.11,7.89,60.54,3.82,97.2,10.01,90.49,1.005
Tampa Bay Lightning,82,1238.9333,45,29,8,42,98,0.598,1189.55,1138.49,51.1,836.41,802.76,51.03,573.76,572.67,50.05,55.06,69.89,44.07,48.27,51.6,48.33,527,534,49.67,283.82,289.2,49.53,48.23,58,45.4,16.99,79.94,215.91,221.48,49.36,144.7,156,48.12,30.82,38.71,44.33,21.3,75.19,310.97,312.28,49.9,138.86,133.14,51.05,17.36,19.26,47.41,12.51,85.53,704.86,605.84,53.78,267.42,246.19,52.07,6.84,11.89,36.51,2.56,95.17,9.6,87.8,0.974
Washington Capitals,82,1407.45,40,31,11,36,91,0.555,1286.22,1511.67,45.97,869.7,1048.74,45.33,602.26,698.02,46.32,58.6,48.34,54.8,54.53,63.37,46.25,579.69,659.29,46.79,296.95,342.34,46.45,46.72,38.23,55,15.73,88.83,243.07,251.59,49.14,160.41,167.59,48.9,35.88,26.23,57.77,22.37,84.35,337.04,407.03,45.3,136.57,174.63,43.88,10.84,12,47.47,7.94,93.13,709.68,857.71,45.28,274.49,317.57,46.36,11.89,10.11,54.06,4.33,96.82,9.73,93.07,1.028
Nashville Predators,82,1409.1333,47,30,5,44,99,0.604,1558.07,1336.43,53.83,1096.82,947.1,53.66,749.7,685.64,52.23,64.56,44,59.47,69.28,54.79,55.84,738.87,619.05,54.41,394.81,321.37,55.13,54.23,34.11,61.38,13.73,89.39,301.83,227.61,57.01,205.19,147.24,58.22,37.18,20.82,64.1,18.12,85.86,437.66,391.24,52.8,189.94,173.66,52.24,17.05,13.26,56.25,8.98,92.36,905.17,778.69,53.76,331.04,331.01,50,10.32,9.89,51.06,3.12,97.01,8.61,93.58,1.022
Detroit Red Wings,82,1513.1,41,32,9,38,91,0.555,1361.84,1660.26,45.06,959.78,1191.14,44.62,650.93,808.75,44.59,54.83,74.38,42.44,57.26,71.92,44.33,610.91,741.17,45.18,307.22,398.77,43.52,42.94,66.38,39.28,13.98,83.35,220.35,276.06,44.39,145.3,176.27,45.18,27.88,39.53,41.36,19.19,77.57,390.83,464.83,45.68,162.17,222.34,42.18,15.05,26.84,35.93,9.28,87.93,790.37,1009.38,43.92,294.55,375.2,43.98,11.89,8,59.78,4.04,97.87,8.42,90.8,0.992
Calgary Flames,82,1285.1167,38,39,5,38,81,0.494,1356.56,1267.24,51.7,937.07,854.56,52.3,652.58,599.85,52.11,53.77,64.23,45.57,52.43,54.52,49.03,587.64,609.74,49.08,298.22,302.32,49.66,41.89,47.77,46.72,14.05,84.2,226.7,250.76,47.48,135.97,168.76,44.62,23.65,32.94,41.79,17.39,80.48,361.59,359.31,50.16,162.28,133.83,54.8,18.21,14.84,55.09,11.22,88.91,833.18,713.76,53.86,322.16,272.75,54.15,11.89,16.43,41.99,3.69,93.98,8.24,89.29,0.975
Toronto Maple Leafs,82,1340.8167,46,26,10,41,102,0.622,1376.22,1292.51,51.57,985.76,921.78,51.68,675.38,618.71,52.19,56.11,56.79,49.7,59.06,57.87,50.51,647.01,582.83,52.61,321.11,318.83,50.18,46,49.96,47.94,14.33,84.33,264.83,247.57,51.68,169.68,167.7,50.29,32,34.35,48.23,18.86,79.52,382.21,334.89,53.3,151.54,150.92,50.1,14,15.57,47.34,9.24,89.68,800.35,747.46,51.71,315.15,272.03,53.67,10.11,6.84,59.64,3.21,97.49,8.31,90.82,0.991
