Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Washington Capitals,82,1451.8,40,31,11,36,91,0.555,1424,1322,51.86,991,957,50.87,630,646,49.37,44,70,38.6,63.49,59.92,51.44,687,607,53.09,318,320,49.84,38,58,39.58,11.95,81.88,287,274,51.16,158,173,47.73,25,39,39.06,15.82,77.46,400,333,54.57,160,147,52.12,13,19,40.63,8.13,87.07,807,787,50.63,292,289,50.26,6,12,33.33,2.05,95.85,6.98,89.16,0.961
Philadelphia Flyers,82,1361.5667,38,33,11,34,87,0.53,1650,1156,58.8,1186,795,59.87,809,537,60.1,67,75,47.18,68.83,49.47,58.18,747,516,59.14,390,271,59,56,63,47.06,14.36,76.75,321,207,60.8,206,135,60.41,35,38,47.95,16.99,71.85,426,309,57.96,184,136,57.5,21,25,45.65,11.41,81.62,961,678,58.63,386,224,63.28,11,12,47.83,2.85,94.64,8.28,86.03,0.943
New York Rangers,82,1176.8333,55,23,4,51,114,0.695,1362,973,58.33,956,719,57.07,663,510,56.52,45,48,48.39,55.51,44.77,55.36,630,443,58.71,325,267,54.9,33,45,42.31,10.15,83.15,236,194,54.88,146,141,50.87,15,30,33.33,10.27,78.72,394,249,61.28,179,126,58.69,18,15,54.55,10.06,88.1,814,560,59.24,310,211,59.5,12,3,80,3.87,98.58,6.79,90.59,0.974
Calgary Flames,82,1588.9833,38,39,5,38,81,0.494,1758,1451,54.78,1253,1049,54.43,834,728,53.39,74,64,53.62,75.12,63.89,54.04,794,685,53.68,413,384,51.82,56,55,50.45,13.56,85.68,330,272,54.82,222,182,54.95,40,21,65.57,18.02,88.46,464,413,52.91,191,202,48.6,16,34,32,8.38,83.17,1062,853,55.46,389,307,55.89,18,9,66.67,4.63,97.07,8.87,91.21,1.001
Minnesota Wild,82,1345.4667,39,33,10,36,88,0.537,1354,1230,52.4,957,907,51.34,635,635,50,58,60,49.15,55.01,51.77,51.52,578,554,51.06,291,297,49.49,50,47,51.55,17.18,84.18,238,225,51.4,159,148,51.79,38,27,58.46,23.9,81.76,340,329,50.82,132,149,46.98,12,20,37.5,9.09,86.58,812,772,51.26,315,308,50.56,8,13,38.1,2.54,95.78,9.13,90.55,0.997
Vancouver Canucks,82,867.4833,50,23,9,50,109,0.665,950,666,58.79,641,496,56.38,416,356,53.89,35,33,51.47,39.76,30.98,56.21,434,324,57.26,203,191,51.52,30,33,47.62,14.78,82.72,195,132,59.63,114,95,54.55,21,23,47.73,18.42,75.79,239,192,55.45,89,96,48.11,9,10,47.37,10.11,89.58,585,389,60.06,196,147,57.14,5,0,100,2.55,100,8.41,90.73,0.991
Colorado Avalanche,82,1123.1333,50,25,7,48,107,0.652,1321,1026,56.28,934,744,55.66,640,525,54.94,62,54,53.45,55.95,46.38,54.67,611,467,56.68,324,260,55.48,52,44,54.17,16.05,83.08,264,199,57.02,169,140,54.69,35,27,56.45,20.71,80.71,347,268,56.42,155,120,56.36,17,17,50,10.97,85.83,797,584,57.71,295,229,56.3,10,10,50,3.39,95.63,9.69,89.71,0.994
Anaheim Ducks,82,1730.25,27,50,5,26,59,0.36,1594,1572,50.35,1133,1146,49.71,786,793,49.78,58,80,42.03,67.75,70.21,49.11,712,746,48.83,376,405,48.14,49,69,41.53,13.03,82.96,290,318,47.7,183,221,45.3,35,42,45.45,19.13,81,422,428,49.65,193,184,51.19,14,27,34.15,7.25,85.33,928,915,50.35,358,349,50.64,9,11,45,2.51,96.85,7.38,89.91,0.973
Vegas Golden Knights,82,1186.3333,45,29,8,41,98,0.598,1262,1180,51.68,868,821,51.39,600,581,50.8,56,53,51.38,52.42,47.3,52.57,567,530,51.69,303,277,52.24,49,45,52.13,16.17,83.75,204,203,50.12,144,126,53.33,28,27,50.91,19.44,78.57,363,327,52.61,159,151,51.29,21,18,53.85,13.21,88.08,766,704,52.11,268,279,48.99,7,8,46.67,2.61,97.13,9.33,90.88,1.002
Dallas Stars,82,1122.65,52,21,9,48,113,0.689,1349,878,60.57,950,638,59.82,634,419,60.21,51,38,57.3,56.78,34.57,62.16,610,407,59.98,330,208,61.34,48,34,58.54,14.55,83.65,229,160,58.87,154,97,61.35,27,17,61.36,17.53,82.47,381,247,60.67,176,111,61.32,21,17,55.26,11.93,84.68,803,515,60.93,270,188,58.95,3,4,42.86,1.11,97.87,8.04,90.93,0.99
New York Islanders,82,1077.1667,39,27,16,38,94,0.573,1130,1026,52.41,806,725,52.65,566,513,52.46,47,44,51.65,50.82,41.02,55.34,517,464,52.7,277,249,52.66,37,39,48.68,13.36,84.34,230,173,57.07,163,119,57.8,25,23,52.08,15.34,80.67,287,291,49.65,114,130,46.72,12,16,42.86,10.53,87.69,667,600,52.64,265,233,53.21,10,5,66.67,3.77,97.85,8.3,91.42,0.997
