Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
Columbus Blue Jackets,82,2896.5667,27,43,12,24,66,0.402,2859,3170,47.42,2022,2227,47.59,1381,1580,46.64,123,140,46.77,120.46,139.16,46.4,1293,1484,46.56,679,774,46.73,101,114,46.98,14.87,85.27,475,593,44.48,310,383,44.73,61,67,47.66,19.68,82.51,818,891,47.86,369,391,48.55,40,47,45.98,10.84,87.98,1643,1833,47.27,622,744,45.53,22,26,45.83,3.54,96.51,8.91,91.14,1
Detroit Red Wings,82,2826.4167,41,32,9,38,91,0.555,2566,3039,45.78,1805,2156,45.57,1248,1470,45.92,124,139,47.15,102.82,129.27,44.3,1111,1398,44.28,566,730,43.67,94,121,43.72,16.61,83.42,397,538,42.46,263,347,43.11,58,75,43.61,22.05,78.39,714,860,45.36,303,383,44.17,36,46,43.9,11.88,87.99,1528,1824,45.58,594,676,46.77,30,18,62.5,5.05,97.34,9.94,90.54,1.005
New Jersey Devils,82,2800.55,38,39,5,38,81,0.494,2824,2700,51.12,1984,1985,49.99,1350,1405,49,121,141,46.18,127.07,127.21,49.97,1275,1253,50.44,648,702,48,108,124,46.55,16.67,82.34,517,539,48.96,332,375,46.96,71,82,46.41,21.39,78.13,758,714,51.49,316,327,49.14,37,42,46.84,11.71,87.16,1679,1529,52.34,654,628,51.01,13,17,43.33,1.99,97.29,8.96,89.96,0.989
St Louis Blues,82,2676.6167,43,33,6,38,92,0.561,2371,2880,45.15,1720,2081,45.25,1228,1439,46.04,109,113,49.1,100.72,129.06,43.83,1082,1328,44.9,606,707,46.15,92,93,49.73,15.18,86.85,433,577,42.87,306,375,44.93,56,58,49.12,18.3,84.53,649,751,46.36,300,332,47.47,36,35,50.7,12,89.46,1411,1713,45.17,563,668,45.74,17,20,45.95,3.02,97.01,8.88,92.15,1.01
Dallas Stars,82,2877.9,52,21,9,48,113,0.689,3116,2753,53.09,2186,1955,52.79,1478,1330,52.64,136,119,53.33,132.94,110.48,54.61,1476,1192,55.32,770,641,54.57,117,104,52.94,15.19,83.78,576,472,54.96,361,324,52.7,66,67,49.62,18.28,79.32,900,720,55.56,409,317,56.34,51,37,57.95,12.47,88.33,1865,1674,52.7,648,624,50.94,19,15,55.88,2.93,97.6,9.2,91.05,1.003
Florida Panthers,82,2757.3333,52,24,6,49,110,0.671,3126,2426,56.3,2133,1802,54.21,1470,1229,54.46,113,88,56.22,127.54,106.79,54.43,1357,1071,55.89,688,605,53.21,90,78,53.57,13.08,87.11,549,463,54.25,346,328,51.34,52,54,49.06,15.03,83.54,808,608,57.06,342,277,55.25,38,24,61.29,11.11,91.34,1901,1433,57.02,715,549,56.57,23,10,69.7,3.22,98.18,7.69,92.84,1.005
Minnesota Wild,82,2831.4333,39,33,10,36,88,0.537,2682,2798,48.94,1884,1942,49.24,1268,1327,48.86,111,114,49.33,108.75,105.22,50.83,1199,1218,49.61,612,613,49.96,96,86,52.75,15.69,85.97,477,465,50.64,321,294,52.2,55,56,49.55,17.13,80.95,722,753,48.95,291,319,47.7,41,30,57.75,14.09,90.6,1570,1758,47.18,594,652,47.67,15,28,34.88,2.53,95.71,8.75,91.41,1.002
San Jose Sharks,82,2731.1167,19,54,9,18,47,0.287,2444,3132,43.83,1716,2219,43.61,1151,1540,42.77,83,138,37.56,99.25,138.09,41.82,1080,1510,41.7,554,808,40.68,69,111,38.33,12.45,86.26,426,603,41.4,267,389,40.7,41,68,37.61,15.36,82.52,654,907,41.9,287,419,40.65,28,43,39.44,9.76,89.74,1462,1880,43.75,537,678,44.2,14,27,34.15,2.61,96.02,7.21,91.04,0.983
Arizona Coyotes,82,2713.3,36,41,5,34,77,0.47,2533,2787,47.61,1797,2027,46.99,1195,1369,46.61,115,125,47.92,111.16,123.98,47.27,1202,1315,47.76,611,688,47.04,91,102,47.15,14.89,85.17,484,547,46.94,312,349,47.2,61,60,50.41,19.55,82.81,718,768,48.32,299,339,46.87,30,42,41.67,10.03,87.61,1436,1689,45.95,530,617,46.21,24,23,51.06,4.53,96.27,9.62,90.87,1.005
Washington Capitals,82,2834.6833,40,31,11,36,91,0.555,2546,3010,45.82,1755,2077,45.8,1184,1376,46.25,102,118,46.36,113.4,123.5,47.87,1201,1325,47.55,604,672,47.34,83,97,46.11,13.74,85.57,497,527,48.54,312,337,48.07,62,66,48.44,19.87,80.42,704,798,46.87,292,335,46.57,21,31,40.38,7.19,90.75,1417,1779,44.34,526,635,45.31,19,21,47.5,3.61,96.69,8.61,91.42,1
New York Islanders,82,2999.9833,39,27,16,38,94,0.573,2931,3288,47.13,2137,2221,49.04,1484,1537,49.12,127,110,53.59,129.18,129.75,49.89,1371,1452,48.57,748,708,51.37,105,87,54.69,14.04,87.71,584,547,51.64,401,361,52.62,63,50,55.75,15.71,86.15,787,905,46.51,347,347,50,42,37,53.16,12.1,89.34,1693,1937,46.64,661,754,46.71,22,23,48.89,3.33,96.95,8.56,92.84,1.014
Anaheim Ducks,82,2550.0333,27,50,5,26,59,0.36,2261,2634,46.19,1646,1911,46.27,1140,1327,46.21,84,118,41.58,94.01,115.23,44.93,976,1200,44.85,541,652,45.35,75,100,42.86,13.86,84.66,407,527,43.58,268,350,43.37,48,62,43.64,17.91,82.29,569,673,45.81,273,302,47.48,27,38,41.54,9.89,87.42,1369,1610,45.96,523,618,45.84,9,18,33.33,1.72,97.09,7.37,91.11,0.985
